Prvcnm,5:00-7:00,7:00-9:00,9:00-11:00,11:00-13:00,13:00-15:00,15:00-17:00,17:00-19:00,19:00-21:00
327,12,27,5,4,2,2,13,19
294,0,5,0,5,4,2,22,4
480,0,3,0,0,1,0,0,0
136,2,3,0,0,1,1,1,0
509,2,7,3,0,1,3,1,1
288,7,20,3,0,0,3,11,6
115,7,17,1,5,6,4,52,27
481,0,2,0,0,1,0,3,1
318,6,9,8,1,2,5,7,4
454,1,2,0,0,0,1,5,5
348,0,2,0,1,1,2,1,1
460,1,9,2,1,2,6,4,7
97,0,2,0,0,6,23,7,7
465,1,15,4,2,1,1,9,5
39,3,7,3,1,18,30,22,4
262,0,4,0,0,0,0,0,0
485,4,4,0,0,2,1,0,0
38,9,22,9,7,10,41,49,16
328,0,3,5,1,10,18,18,5
474,1,3,0,0,1,3,3,0
469,0,1,0,1,0,4,1,2
183,10,27,8,3,1,7,8,7
57,0,5,6,4,10,9,13,15
34,0,4,6,2,5,2,0,0
401,0,6,1,2,0,1,0,1
510,1,4,5,0,2,3,0,0
268,5,12,11,4,14,15,27,6
47,4,14,11,4,17,51,40,16
161,3,9,4,2,8,22,26,15
165,1,11,3,0,1,5,3,6
263,1,7,4,1,0,4,1,0
313,16,16,6,0,5,5,10,8
498,0,5,0,0,0,0,3,3
350,5,18,7,2,3,5,8,3
49,6,11,8,12,24,64,85,28
257,1,4,0,1,0,7,11,4
478,8,11,0,2,0,1,11,2
194,1,9,9,4,6,20,43,6
146,8,22,2,1,4,11,5,5
219,5,16,6,4,4,4,10,9
617,0,4,0,0,1,1,1,1
452,0,3,1,1,0,1,0,0
28,11,21,2,0,2,3,2,8
500,0,2,0,0,0,0,2,1
447,1,7,3,2,1,0,5,8
108,1,7,5,9,10,19,8,21
372,0,4,2,1,2,0,0,0
317,0,2,3,5,5,35,22,7
293,0,2,1,2,5,8,13,6
344,3,7,7,2,4,20,61,15
103,0,1,1,0,4,1,2,0
503,6,8,2,0,2,0,3,1
383,0,9,0,2,2,25,21,11
523,1,3,3,1,2,0,2,3
248,1,3,13,1,5,7,2,3
241,1,7,18,8,16,28,22,14
492,0,9,0,0,1,0,4,2
333,1,5,0,0,1,3,7,3
246,6,6,1,1,4,4,2,3
488,0,1,0,0,0,0,0,1
13,6,10,2,2,0,18,41,12
297,5,6,1,0,1,1,6,2
600,1,4,0,0,0,1,4,4
489,0,1,0,1,0,1,7,5
525,0,4,1,0,1,0,0,0
527,0,1,0,0,0,0,0,1
505,3,3,0,1,0,1,11,2
381,0,3,2,0,0,1,0,0
323,0,2,1,1,4,3,2,4
252,1,3,0,0,0,2,0,1
230,7,5,3,0,3,15,28,8
278,6,4,1,0,0,0,2,1
279,0,5,2,0,1,0,2,3
197,1,12,9,7,17,28,38,7
426,2,4,5,5,10,6,9,6
519,1,3,0,0,0,0,0,0
87,8,9,7,0,5,5,23,12
122,1,8,3,2,4,9,7,1
601,2,0,1,0,2,2,2,0
514,2,2,3,1,0,0,1,0
62,1,2,3,0,15,9,11,0
476,3,0,0,1,3,1,0,0
373,3,1,0,3,0,0,1,2
244,1,2,1,1,2,9,29,4
456,6,0,0,0,2,0,0,0
222,1,4,0,0,1,2,6,5
433,1,0,0,0,1,0,1,0
432,1,3,2,1,1,2,6,5
336,0,2,5,1,2,0,0,0
418,1,4,10,1,2,5,2,2
