Prvcnm,5:00-7:00,7:00-9:00,9:00-11:00,11:00-13:00,13:00-15:00,15:00-17:00,17:00-19:00,19:00-21:00
33,9,11,4,14,29,39,40,8
268,1,3,16,8,14,21,3,1
257,5,3,1,1,6,8,5,7
481,1,0,0,0,1,2,2,1
301,16,12,22,8,18,11,2,4
324,0,5,6,2,8,5,7,1
249,0,1,4,3,1,9,1,0
491,0,0,0,0,0,3,1,2
285,2,7,1,2,5,3,5,0
7,2,7,9,9,10,14,6,2
123,1,9,8,13,9,17,38,12
309,0,4,4,3,2,7,5,1
334,4,11,13,5,7,9,13,2
121,0,7,4,3,3,3,2,1
85,1,9,7,7,20,32,30,9
420,0,0,4,3,7,10,9,9
424,0,0,1,2,4,5,0,0
419,0,2,9,2,4,4,0,0
119,0,6,4,3,2,9,14,6
435,0,1,2,2,2,1,0,0
198,3,23,15,11,17,19,27,13
113,0,13,7,5,13,19,23,3
150,0,1,1,4,6,12,1,0
13,1,6,7,6,20,30,25,10
217,1,12,12,7,9,32,23,3
66,22,37,19,15,21,53,37,13
430,0,0,0,0,0,1,1,0
153,3,21,6,2,14,17,11,5
225,2,12,5,3,10,10,8,8
91,92,327,75,18,24,44,55,7
271,0,0,0,0,2,1,0,0
71,7,34,16,8,16,41,35,3
383,0,6,3,1,5,18,16,6
247,2,15,9,2,7,3,3,2
242,5,3,1,3,6,8,22,14
81,5,20,16,18,38,69,50,14
114,0,0,3,2,9,12,10,7
216,0,4,2,0,4,1,1,1
489,0,0,0,1,3,4,2,5
122,0,7,3,3,3,11,5,0
238,2,3,7,4,3,4,11,5
137,0,36,10,1,9,8,3,3
40,0,3,6,10,14,30,22,6
402,1,2,0,2,1,4,3,1
50,22,41,7,4,9,25,21,5
345,4,6,11,2,10,11,16,6
501,0,2,7,1,2,0,3,1
107,1,19,19,8,13,6,18,4
152,5,19,7,7,5,5,12,9
36,6,37,18,13,42,54,54,4
25,2,1,3,2,19,25,28,10
455,0,0,0,0,1,0,0,0
329,2,9,5,0,5,3,7,3
307,6,14,8,1,11,10,14,13
140,6,28,17,7,18,34,31,16
351,1,1,1,0,1,0,0,1
277,2,17,5,1,4,4,6,2
188,2,3,2,7,11,7,5,6
245,5,10,13,0,4,4,2,0
490,0,3,0,2,1,2,0,0
321,2,11,19,4,8,18,26,4
154,0,4,0,1,4,5,7,6
192,69,265,47,8,17,31,33,9
509,0,4,11,1,4,2,1,1
32,2,19,2,2,5,8,5,0
336,0,0,2,1,2,2,0,2
241,0,7,11,3,10,13,9,2
224,2,7,4,6,7,5,8,4
504,4,5,5,0,8,2,3,4
350,5,4,12,9,9,7,7,1
163,1,6,4,1,5,3,4,3
605,0,0,0,1,1,3,1,0
164,2,20,10,7,16,59,46,6
527,0,0,1,0,1,1,0,1
173,0,7,7,4,15,39,21,3
168,8,36,17,7,14,15,7,5
411,0,1,0,0,2,0,0,0
347,8,20,8,0,14,5,2,0
364,2,8,19,9,6,12,16,3
230,1,13,11,4,9,29,25,7
524,0,0,0,0,1,0,0,0
310,3,2,6,3,1,4,1,2
460,0,7,1,3,6,3,1,1
547,0,0,1,1,0,0,0,0
532,0,0,0,0,0,0,1,0
328,0,0,1,0,10,11,10,6
318,3,14,12,7,12,5,11,7
376,0,25,9,0,2,2,13,1
337,6,14,6,4,16,11,11,2
323,0,0,3,1,1,1,2,1
515,0,0,0,2,2,3,1,2
317,0,4,3,4,5,43,18,2
162,2,3,6,4,8,3,6,4
223,2,5,7,3,4,11,10,6
479,0,4,1,0,1,0,2,1
103,1,4,2,0,4,3,0,0
322,0,6,4,8,10,6,5,3
339,1,0,2,1,0,7,7,2
499,0,2,3,0,0,4,0,0
596,0,13,2,3,2,2,4,1
180,1,13,5,1,5,3,1,2
34,0,0,4,2,6,4,1,3
86,5,7,7,1,4,2,8,3
476,0,0,1,0,1,0,0,2
326,0,6,3,3,9,2,7,3
417,0,1,5,4,6,0,2,1
68,0,9,6,5,7,18,17,3
367,2,1,3,1,0,0,0,0
609,0,0,0,1,5,2,4,2
23,4,15,9,2,2,7,2,1
620,0,8,6,3,2,0,5,0
246,7,3,4,2,4,3,4,0
124,0,3,3,1,2,2,0,1
42,4,1,5,4,8,5,4,4
228,4,10,2,1,2,0,2,1
518,0,0,1,0,0,0,0,0
75,55,110,26,12,23,50,86,8
54,1,9,5,1,3,9,13,7
319,4,6,2,1,1,1,5,2
203,0,0,3,0,3,3,2,2
603,0,0,2,1,1,3,0,0
132,0,0,3,1,1,1,5,1
604,0,0,5,6,2,2,0,0
202,5,3,8,1,4,4,3,2
472,0,0,2,1,2,1,0,4
526,0,1,1,0,0,0,0,0
378,0,0,4,0,1,0,4,0
196,0,5,4,10,18,26,21,9
598,0,2,1,0,0,2,0,0
597,0,1,2,1,0,2,3,0
125,5,8,4,10,9,42,29,6
311,14,22,6,0,2,3,0,3
453,0,0,4,1,2,3,0,0
457,3,20,2,0,2,2,3,3
178,0,1,2,0,1,5,3,0
590,0,5,1,0,0,0,0,0
98,3,7,9,13,26,46,53,15
487,0,2,1,0,0,2,0,0
471,1,13,2,1,1,1,2,1
265,1,4,1,0,0,0,0,0
462,0,6,0,0,1,2,1,3
272,5,2,3,3,4,10,7,1
595,1,0,0,0,0,0,0,0
429,0,0,0,1,2,0,1,0
619,0,1,0,0,1,4,0,0
169,0,0,4,12,8,14,14,1
287,1,8,14,17,50,116,116,22
167,0,0,0,2,2,0,1,0
215,2,0,4,3,1,2,1,1
423,0,0,4,2,3,12,4,2
222,3,4,0,1,3,2,3,4
185,0,4,5,0,0,0,0,5
278,4,2,1,1,0,0,0,0
517,0,0,0,1,3,1,0,2
135,0,0,0,1,0,2,0,2
292,2,10,1,1,0,1,1,2
612,0,3,0,1,0,0,3,6
511,3,16,2,5,11,5,0,1
403,0,0,0,0,1,2,5,3
545,0,0,0,0,0,0,1,0
201,0,0,0,0,1,0,2,0
149,0,3,8,0,2,2,4,1
474,0,1,0,1,0,0,1,0
514,0,0,0,0,0,0,1,1
611,0,0,0,0,1,0,2,1
591,0,0,0,0,0,0,1,0
600,0,1,0,0,0,8,6,2
496,0,0,2,0,2,2,1,0
610,0,0,0,0,1,4,5,1
497,2,2,1,0,1,4,3,3
601,1,1,0,0,0,2,3,1
397,0,0,0,1,0,4,1,0
399,0,0,0,0,0,4,3,0
377,0,0,2,0,1,1,0,0
148,0,0,0,0,6,1,8,0
370,0,1,3,1,0,5,3,0
136,0,0,0,0,3,6,2,1
505,0,2,0,1,4,3,4,5
428,0,1,1,0,0,3,0,0
365,0,2,0,0,2,4,2,2
263,0,1,2,1,2,4,0,1
437,0,0,1,0,3,1,3,0
422,0,0,0,1,1,4,0,0
506,4,7,2,1,4,2,2,2
354,0,0,1,1,3,0,0,0
442,0,0,2,0,4,2,0,1
449,0,4,8,1,1,2,0,1
483,0,0,1,0,1,1,1,0
606,2,4,3,0,0,2,1,2
236,1,9,5,1,1,2,1,0
425,0,1,2,0,3,0,1,0
146,0,9,4,3,3,19,2,2
184,1,2,2,1,3,5,7,0
356,0,1,1,1,0,1,0,1
204,0,4,3,1,3,0,0,1
577,0,1,0,0,0,0,1,0
147,0,5,1,3,0,3,0,0
206,0,3,2,0,2,4,8,4
519,0,1,0,0,3,1,0,1
525,0,3,0,0,0,1,0,0
390,0,0,0,0,0,0,0,0
500,0,0,1,0,2,1,2,1
438,0,0,0,0,0,1,0,1
441,0,0,1,1,0,0,1,0
208,0,0,0,0,0,0,1,1
552,0,0,0,0,0,3,0,0
62,0,0,0,1,5,11,4,0
330,0,1,0,0,4,4,1,0
485,0,4,0,0,0,1,1,1
372,0,0,5,1,0,2,0,1
368,0,0,0,0,1,1,0,0
616,0,0,0,0,1,2,0,0
200,0,0,1,1,1,2,1,0
171,0,5,0,0,1,0,0,0
207,0,6,1,2,2,1,1,0
613,0,4,1,0,0,1,0,0
9,4,2,0,0,0,0,1,0
11,0,0,2,1,0,1,1,0
352,0,0,0,0,1,1,2,4
431,0,0,0,0,0,0,0,0
270,0,0,0,0,0,1,0,2
218,0,0,0,0,0,0,0,1
395,0,0,0,0,0,0,0,0
95,0,0,0,0,0,1,0,4
421,0,0,0,0,0,0,0,0
439,0,0,3,1,3,1,0,1
470,0,0,0,1,0,1,1,1
469,0,0,0,0,0,0,1,0
436,0,0,0,0,0,4,1,0
385,0,0,0,0,0,1,0,0
492,2,3,0,0,1,1,0,2
508,0,1,3,0,1,3,0,0
498,0,2,3,0,1,3,2,0
581,0,0,0,0,1,0,0,0
408,0,0,0,0,1,0,0,0
617,0,3,0,1,1,0,0,0
468,0,0,1,0,0,0,0,0
444,0,0,0,1,0,0,0,0
416,0,2,2,1,0,0,0,0
443,1,5,0,0,1,0,0,0
522,0,3,0,0,1,0,1,0
281,1,0,0,0,0,0,1,0
448,0,0,0,0,0,3,0,0
335,0,0,0,0,0,2,0,0
589,0,0,0,0,0,0,0,0
12,0,0,0,1,2,0,0,0
554,0,0,1,0,0,0,0,0
348,0,0,0,0,0,0,3,0
599,0,0,0,1,1,0,0,0
494,0,1,0,0,1,0,0,0
101,0,0,0,0,0,0,0,0
614,0,0,0,3,0,0,0,0
355,0,0,1,0,0,0,0,0
252,1,2,3,0,0,1,1,0
381,0,1,0,0,0,2,1,0
495,0,0,0,0,1,0,0,0
466,0,0,1,0,0,0,1,0
452,0,0,0,0,1,0,0,0
102,0,0,0,0,0,1,0,0
406,0,0,0,0,0,0,0,0
585,0,0,0,0,0,1,1,0
375,0,0,0,0,2,0,1,0
410,0,0,1,0,1,1,0,0
193,0,0,0,0,1,0,0,0
484,0,6,1,2,1,0,1,0
400,0,1,0,0,0,0,1,0
618,0,0,0,0,0,2,5,1
440,0,0,0,0,0,0,1,0
528,0,0,0,0,0,0,1,0
384,0,0,0,0,1,0,0,0
369,0,0,1,0,0,0,0,0
592,0,0,1,0,0,1,0,0
594,1,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0,1
456,0,0,1,0,0,0,0,0
546,0,0,0,0,1,0,0,0
551,0,0,0,1,0,0,0,0
262,0,1,0,0,0,0,0,0
535,0,1,0,0,0,0,0,0
353,0,0,0,0,1,0,0,0
179,0,0,0,0,0,1,0,0
