Prvcnm,5:00-7:00,7:00-9:00,9:00-11:00,11:00-13:00,13:00-15:00,15:00-17:00,17:00-19:00,19:00-21:00
292,0,5,0,0,0,0,1,0
234,3,4,0,0,1,1,2,1
196,3,3,3,1,1,9,9,1
229,0,1,0,1,2,7,9,5
295,0,5,1,4,0,2,6,3
54,0,5,1,0,1,1,4,0
224,1,3,0,2,3,1,2,3
346,0,14,2,0,1,2,3,2
403,0,0,0,0,0,2,4,0
478,0,3,0,0,1,0,5,0
24,4,9,8,3,6,15,19,4
198,1,13,2,2,7,8,8,4
287,0,6,2,3,13,36,51,7
126,0,1,0,1,0,3,2,0
90,0,0,2,2,9,3,8,0
312,0,9,2,2,0,0,1,2
121,0,2,0,0,0,2,1,1
284,0,16,3,1,5,7,4,1
432,0,0,1,0,0,1,7,0
251,0,0,3,1,0,1,1,2
286,4,9,11,1,6,30,26,7
206,0,0,1,0,0,2,3,3
119,0,2,1,0,1,2,5,4
237,2,6,2,3,6,0,1,0
215,0,0,2,0,0,0,0,0
212,0,7,2,0,4,5,17,2
382,0,0,1,1,0,0,0,1
520,0,0,1,1,0,0,3,0
342,0,0,3,3,7,15,14,5
258,0,1,0,1,1,3,0,2
270,0,0,0,0,0,0,0,1
98,0,6,4,5,13,18,20,3
39,1,3,1,2,13,18,13,3
493,0,3,0,0,1,0,3,3
487,0,1,1,1,1,0,0,1
272,3,1,3,1,0,2,1,1
618,0,0,0,0,1,1,3,1
279,0,1,0,0,0,2,1,1
489,0,1,0,0,0,3,3,2
14,1,6,3,0,1,2,2,2
328,0,0,0,1,2,7,3,4
505,0,0,0,1,0,0,2,1
293,0,2,0,0,0,5,1,2
496,0,0,0,2,1,0,1,1
337,4,11,3,0,1,2,4,3
376,0,6,1,0,0,0,10,1
88,0,3,3,2,0,5,9,1
120,1,1,0,1,3,1,2,0
465,1,4,0,0,0,0,2,0
173,0,1,1,2,4,10,11,7
194,2,4,4,1,4,7,21,7
280,3,2,0,0,1,3,3,0
55,0,1,1,0,1,6,2,0
322,0,1,0,0,1,1,4,2
33,0,6,11,4,8,12,20,1
307,2,8,1,0,1,1,1,4
85,1,1,2,0,1,4,7,2
263,0,0,1,0,1,3,1,0
323,0,0,0,0,1,0,1,0
62,0,0,0,0,1,4,1,0
203,0,0,0,0,0,2,2,0
245,1,3,5,0,1,0,3,1
58,3,24,4,0,1,5,20,6
317,0,0,0,0,3,8,9,4
191,1,34,5,2,4,15,18,2
28,1,4,3,0,0,1,2,0
200,0,0,0,0,0,1,1,0
604,0,0,0,0,1,1,1,0
413,0,3,1,0,0,1,1,0
40,0,1,2,2,6,14,9,1
321,1,2,8,1,1,4,9,4
97,0,0,0,0,0,3,3,0
213,1,2,1,1,1,5,5,0
182,2,18,5,1,6,5,2,2
514,0,1,0,1,0,0,1,0
605,0,0,0,0,1,1,1,0
600,0,0,0,0,0,5,1,1
50,9,28,1,4,2,8,11,0
268,0,1,1,0,3,2,2,1
315,0,0,0,0,1,1,1,1
341,2,0,0,0,1,7,1,0
148,0,0,1,0,0,3,6,0
111,0,4,3,0,3,10,4,1
418,0,0,1,0,1,1,1,1
202,0,1,2,0,0,2,0,2
261,0,2,3,1,1,7,8,1
109,0,1,0,2,0,9,4,1
149,0,7,0,1,1,2,0,0
302,0,2,1,1,1,1,0,1
144,3,4,2,1,0,2,1,0
370,0,0,1,1,0,2,0,0
486,0,0,0,0,0,1,0,0
122,2,3,2,1,0,2,1,0
169,0,0,2,0,1,3,4,1
282,0,4,2,0,1,2,1,1
447,1,5,1,0,0,1,1,1
476,0,0,0,0,0,1,0,0
108,0,1,0,2,4,2,1,1
265,0,5,0,0,0,1,0,0
469,0,0,2,0,1,2,1,0
419,0,0,2,1,1,0,0,0
316,0,0,0,1,2,0,0,2
425,0,0,1,0,1,0,0,0
313,1,3,1,1,4,0,0,1
30,1,15,1,0,1,2,0,0
103,1,1,1,1,2,0,0,1
324,0,1,0,0,1,0,1,0
2,1,0,2,1,2,0,0,1
132,0,0,0,0,0,0,2,0
501,0,1,1,0,0,0,0,0
461,1,1,2,1,0,0,1,1
177,0,2,1,0,1,0,0,1
32,1,8,0,3,3,3,2,0
422,0,0,0,0,1,3,0,0
298,0,0,0,1,0,1,0,0
423,0,0,0,2,1,2,3,0
222,0,4,2,1,1,0,0,0
509,1,1,2,1,0,1,0,1
460,1,2,3,2,0,0,1,1
351,0,0,0,3,0,0,0,0
227,4,3,1,2,0,1,0,3
166,0,5,3,1,0,0,1,0
453,0,0,1,1,1,0,1,0
435,0,0,2,0,0,0,0,0
92,0,11,2,1,0,0,2,0
467,0,0,1,0,1,0,0,0
474,0,0,3,0,0,0,0,1
320,0,9,2,0,0,0,2,1
209,0,5,2,0,0,0,0,0
613,0,2,2,0,0,0,0,0
180,1,9,2,1,0,0,0,0
482,0,10,1,0,0,3,0,1
411,0,0,1,0,0,0,0,0
127,1,2,2,0,1,2,3,0
449,0,1,5,0,0,0,0,0
343,3,10,1,1,1,1,1,0
519,0,3,2,0,0,0,0,0
503,0,2,1,0,1,0,1,0
367,0,0,1,0,1,0,1,0
278,4,2,0,0,0,0,0,0
310,2,1,1,0,0,0,0,1
515,0,1,0,1,0,0,2,2
439,0,2,0,0,0,0,0,0
259,1,7,3,0,0,0,0,2
281,0,5,0,0,0,0,0,0
236,0,3,0,1,0,1,0,0
159,0,2,0,1,0,0,0,0
438,0,4,0,0,0,0,0,0
522,0,1,0,0,0,0,0,0
207,0,3,0,1,2,0,0,0
506,2,3,1,1,0,1,0,0
160,0,8,1,1,0,1,2,1
606,0,5,0,0,0,0,0,0
523,0,2,0,0,0,1,0,0
228,0,7,0,0,0,0,0,1
617,0,4,0,0,0,0,0,0
462,0,5,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0
347,1,2,1,2,2,0,0,0
594,0,0,0,0,0,0,0,0
267,0,0,0,0,0,1,1,0
470,0,0,0,0,0,0,1,0
491,0,0,0,0,0,0,0,0
326,0,1,0,0,1,0,1,1
455,0,0,0,0,0,0,0,1
437,0,0,0,0,0,1,0,1
184,0,0,0,1,0,1,0,1
417,0,0,0,2,0,1,2,1
247,1,1,1,0,0,1,1,0
412,0,0,0,1,0,0,1,0
610,0,1,0,0,0,0,2,0
492,0,0,0,0,0,0,1,0
348,0,0,0,0,0,1,0,0
415,0,0,0,0,1,1,0,0
428,0,0,0,0,1,0,0,0
250,0,0,0,0,1,0,0,1
424,0,0,0,2,1,0,0,0
330,0,0,1,0,1,3,0,0
456,0,0,0,0,0,0,0,0
475,0,2,1,2,0,0,0,0
401,0,0,1,1,0,0,0,0
615,0,0,1,0,0,0,0,0
427,0,0,1,0,0,0,0,0
305,0,7,0,1,0,0,0,0
602,0,2,0,0,0,0,0,0
288,3,6,1,0,0,0,0,0
483,0,0,0,1,0,0,0,0
528,0,0,0,1,0,0,0,0
527,0,0,0,0,0,0,0,0
466,0,0,0,0,1,0,0,0
477,0,0,0,0,0,0,2,1
201,0,0,0,0,0,0,1,0
